tax_id,name,common_name,tax_level,species_taxid,genus_taxid,genus_name,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_r_pct,NR_rpm_bg,NR_maxzscore
12059,Enterovirus,"",2,-100,12059,,12058,Viruses,0,8582,858200.0,100.0,100.0,6434.0,307.6526489,17164000000.0,100.0,0.0,100.0,8582,858200.0,100.0,100.0,2144.0,307.6526489,100.0,0.0,100.0
463676,Rhinovirus C,"",1,463676,12059,,12058,Viruses,0,8582,858200.0,100.0,100.0,6434.0,307.6526489,17164000000.0,100.0,0.0,100.0,8582,858200.0,100.0,100.0,2144.0,307.6526489,100.0,0.0,100.0
