sample,bracken,centrifuge,clark,clark_s,diamond,gottcha,idseq_nr,idseq_nt,idseq_ntnr_conc,idseq_ntnr_conc_stringent,kaiju,karp,kraken,kraken2,krakenhll,kslam,megablast,metaothello,metaphlan2,mmseqs2,motus2,pathseq,prophyle,taxmaps
UnAmbiguouslyMapped_ds.7,0.9586318645747645,0.3017666164539581,0.9540421884521807,0.9540421884521807,0.9597851360527265,0.8720625933044316,0.9217680346374819,0.9448300868968134,0.9456808393446322,0.9386747125158237,0.9634910491617162,0.1777895885101128,0.968729341470671,0.9658672965548192,0.9560935495636194,0.9676207643583219,0.967209141717634,0.9844977561306302,0.7350963255364563,0.9246209270684315,0.7474077924732587,0.9373447264273249,0.8881298744088264,0.9494362961024203
UnAmbiguouslyMapped_ds.buccal,0.8333333333333334,0.37222222222222223,0.8333333333333335,0.8333333333333334,1.0,0.6788690476190478,1.0,1.0,1.0,1.0,1.0,0.1388888888888889,0.8333333333333334,0.9166666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333335,0.7657677970177973,0.9325107762607764,0.5,0.8829089506172839,0.8295454545454547,0.8333333333333334
UnAmbiguouslyMapped_ds.cityparks,0.9993533871882087,0.3256448412698412,0.9989532271241832,0.9989532271241831,1.0,0.8215135083713851,0.9882670632209161,0.9753995244115686,0.9812538199482854,0.9832547016135255,1.0,0.26005049581350503,0.9993533871882085,0.9968322006580045,0.998953227124183,1.0000000000000002,0.9993872549019607,1.0,0.7900345246562352,1.0,0.6613114653479236,0.91813946048472,0.9791666666666669,0.9791666666666666
UnAmbiguouslyMapped_ds.gut,0.95,0.2,0.95,0.9500000000000002,1.0000000000000002,0.8364646464646464,1.0000000000000002,0.998809523809524,0.998809523809524,0.998809523809524,1.0000000000000002,0.2930718954248366,0.95,0.9500000000000002,0.95,0.95,0.9772619047619048,0.95,0.6160448232323233,1.0000000000000002,0.39999999999999997,0.7350449538864497,0.9406376518218623,0.9500000000000001
UnAmbiguouslyMapped_ds.hous1,0.9346775082539848,0.2721151996151996,0.9046387806547718,0.9075671537069557,0.9645048874737788,0.9287976037655112,0.9726313463906788,0.9425199088508691,0.9478156734208272,0.9499904322132331,0.9674810779499693,0.13052634360105625,0.9500398738697708,0.9710292508741096,0.9047459371798385,0.9451544407693276,0.9517942598346831,0.9972018291929303,0.7498812494047384,0.9784830620769533,0.4666666666666667,0.8240558929802211,0.9276800042573414,0.9333333333333332
UnAmbiguouslyMapped_ds.hous2,0.9935185185185187,0.34249999999999997,0.9950000000000001,0.9958333333333333,1.0000000000000002,0.925,1.0000000000000002,0.9928571428571431,0.9950000000000001,0.997727272727273,1.0000000000000002,0.42242132867132864,0.9935185185185187,0.9950000000000001,0.9950000000000001,0.997727272727273,0.9967391304347828,0.9977272727272728,0.6482142857142859,1.0000000000000002,0.55,0.7121123254574626,0.9929653679653683,0.998809523809524
UnAmbiguouslyMapped_ds.nycsm,0.9500000000000002,0.25,0.94875,0.9773809523809525,0.8859271933880266,0.8210531135531135,0.9540574236790713,0.8450927910130064,0.8522761191863144,0.8312288956070926,0.9399957732755722,0.09652777777777777,0.9487500000000002,0.9426190476190477,0.9487500000000002,0.998809523809524,0.9361435144233134,0.9988095238095239,0.7269992997198882,0.9453026404360196,0.35,0.7194374449499149,0.9916075514874143,0.9950000000000001
UnAmbiguouslyMapped_ds.soil,0.9990909090909091,0.3531135531135532,0.9788078431372548,0.9784452830188681,1.0,0.7736622807017545,0.9889154679810969,0.971960982083973,0.9776199861278165,0.9814466262275781,1.0,0.27160093868441076,0.9990909090909091,0.997348817808589,0.9788078431372549,0.9998039215686276,0.9992153846153847,1.0000000000000002,0.8784728132387707,0.9998039215686274,0.6946118777970959,0.9056872762023026,0.99177304964539,0.9800000000000001
atcc_even,0.95,0.25,0.9500000000000002,0.9500000000000002,1.0000000000000002,0.7781818181818181,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.2984135013962652,0.95,0.9500000000000002,0.95,0.9500000000000002,0.9832315162907268,0.9500000000000002,0.9487500000000002,1.0000000000000002,0.75,0.748376048298476,0.941964285714286,0.94875
atcc_staggered,0.9403676470588238,0.1351081980857262,0.9487500000000002,0.9240533151059467,0.7333442783802182,0.8625000000000003,0.8075722552696238,0.9551993839493841,0.9741022351663087,0.9879589906137896,0.7514972014064363,0.17188126416067592,0.9500000000000002,0.9500000000000002,0.9419517543859652,0.9487500000000001,0.9781818181818185,0.9500000000000002,0.7633239137883103,0.7104659616988864,0.7500000000000002,0.33171559296629316,0.9449874686716795,0.95
